Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"Omidyar Network-San Francisco-California","Expansion/Early Stage/Startup/Seed","1000000.0","1000000.0","Redwood City, California","United States","611000000.0","http://venture-capital-firms.findthebest.com/l/817/Omidyar-Network-San-Francisco-California"
"Acorn Ventures, Inc.","Early Stage/Startup/Seed","1000000.0","5000000.0","San Jose, California","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/978/Acorn-Ventures-Inc"
"Arboretum Ventures-Cleveland-Ohio","Early Stage/Startup/Seed","8000000.0","12000000.0","Cleveland, Ohio","United States","235000000.0","http://venture-capital-firms.findthebest.com/l/404/Arboretum-Ventures-Cleveland-Ohio"
"Pittsburgh Equity Partners","Early Stage","","","Pittsburgh, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/1371/Pittsburgh-Equity-Partners"
"Starfish Ventures","Startup/Seed/Early Stage/Growth/Expansion","","","EAST MELBOURNE","","400000000.0","http://venture-capital-firms.findthebest.com/l/1427/Starfish-Ventures"
"Sequoia Capital- U.S.","Early Stage/Expansion/Startup/Seed","","10000000000.0","Menlo Park, California","United States","2400000000.0","http://venture-capital-firms.findthebest.com/l/790/Sequoia-Capital-U-S"
"CenterPoint Venture Partners - Austin - Texas","Early Stage","5000000.0","15000000.0","Austin, Texas","United States","421000000.0","http://venture-capital-firms.findthebest.com/l/481/CenterPoint-Venture-Partners-Austin-Texas"
"Heartland Ventures","Early Stage/Startup/Seed","1000000.0","3000000.0","Irving, Texas","United States","55000000.0","http://venture-capital-firms.findthebest.com/l/1166/Heartland-Ventures"
"HarbourVest Partners LLC-Central-Hong Kong","Later Stage","","20000000000.0","Central Hong Kong","Hong Kong","6700000000.0","http://venture-capital-firms.findthebest.com/l/551/HarbourVest-Partners-LLC-Central-Hong-Kong"
"Valhalla Partners","Early Stage","","10000000.0","Vienna, Virginia","United States","440000000.0","http://venture-capital-firms.findthebest.com/l/755/Valhalla-Partners"
"EnerTech Capital-Conshohocken-Pennsylvania","Expansion","","","Conshohocken, Pennsylvania","United States","450000000.0","http://venture-capital-firms.findthebest.com/l/927/EnerTech-Capital-Conshohocken-Pennsylvania"
"Sanderling Ventures","Early Stage/Startup/Seed","","","San Mateo, California","United States","","http://venture-capital-firms.findthebest.com/l/89/Sanderling-Ventures"
"Globespan Capital Partners - Palo Alto","Startup/Seed","","","Palo Alto, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/1081/Globespan-Capital-Partners-Palo-Alto"
"GRP Partners-Los Angeles-California","Early Stage","","20000000000.0","Los Angeles, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/633/GRP-Partners-Los-Angeles-California"
"Ballast Point Venture Partners","Startup/Seed","3000000.0","10000000.0","St. Petersburg, Florida","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/1026/Ballast-Point-Venture-Partners"
"Braemar Energy Ventures","Expansion/Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1219/Braemar-Energy-Ventures"
"Bain Capital Ventures - Boston - Massechusetts","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000000.0","Boston, Massachusetts","United States","67000000000.0","http://venture-capital-firms.findthebest.com/l/795/Bain-Capital-Ventures-Boston-Massechusetts"
"Duff Ackerman &amp; Goodrich","Startup/Seed/Early Stage","","","Palo Alto, California","United States","1000000.0","http://venture-capital-firms.findthebest.com/l/1253/Duff-Ackerman-And-Goodrich"
