Name,Markets Seeking,Locations Seeking
Stephen Brady,,San Francisco
Pat Matthews,"Enterprises,Information Technology,Internet,Local,Platforms","Austin,Blacksburg,San Antonio,San Francisco,Silicon Valley,Texas,Virginia"
Peter Liu,"Consumer Internet,Content Discovery,Digital Media,E-Commerce,Enterprise Software,Health Care,Mobile,Photo Sharing,Photography,Social Commerce,Social Media","Chicago,United States"
Rishi Roongta,"Consumer Internet,Enterprise Software,Mobile,Social Commerce,Social Media","Austin,Chicago,Colorado,Denver,Los Angeles,Massachusetts,Michigan,New York,North America,North Carolina,Silicon Valley,Utah"
Kwad Acheampong,,
Ping Li,Information Technology,"Palo Alto,Silicon Valley"
David Hornik,"Advertising,Big Data,Cloud Computing,Cloud Data Services,Cloud Management,Consumer Internet,Digital Media,Enterprise Software,Video","Boston,Chicago,Denver,Los Angeles,Menlo Park,New York City,Portland,Seattle,Silicon Valley,Texas"
Tom Patterson,"Application Platforms,Bridging Online and Offline,Collaborative Consumption,Communities,Consumer Internet,Crowdsourcing,Enterprise Software,Facebook Applications,Health Care,Machine Learning,Market Research,Marketplaces,Messaging,Mobile,Mobile Commerce,Mobile Enterprise,Parenting,Publishing,Small and Medium Businesses,Social Commerce,Social Fundraising,Social Media,Social Media Platforms,Social News,User Experience Design,Ventures for Good,Web CMS","Europe,New York,San Francisco,Silicon Valley,Southern California"
Aunkur Arya,"Analytics,Bridging Online and Offline,Consumer Electronics,Finance,Games,Internet,Messaging,Mobile,Retail Technology,Ventures for Good,Wireless","San Francisco,Silicon Valley"
Craig Albrecht,"Business Services,Consumer Internet,Consumers,Distribution,Financial Services,Health Care,Health Care Information Technology,Manufacturing,Marketplaces,Mobile,Mobile Games,Personal Health,Small and Medium Businesses,Social Commerce,Telecommunications,Venture Capital","Chicago,Midwestern States,San Francisco,Silicon Valley,St. Louis,Turkey"
Chris Barchak,"Big Data,Clean Technology,Consumer Internet,Databases,Enterprise Software,Mobile,Professional Networking,Recruiting,Social Media","Copenhagen,Europe,Goteborg,Helsinki,Linkoping,London,Malmo,Oslo,Riga,Stockholm,Tallinn,Tampere,Vilnius"
Bill Pescatello,"All Markets,Consumer Internet,Mobile","Chicago,New York,Silicon Valley"
Ryan Dawidjan,,
Alex Vartan,"Biotechnology,Bitcoin,Email,Health Care,Health and Wellness,Maps,Personal Health,Search",Silicon Valley
Nick Grossman,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Boston,New York City"
Arne Stoldt,,
Hunter Cash,"Analytics,B2B,Clean Energy,Education,Enterprise Software,Mobile,SaaS",Austin
Ryan McIntyre,"Consumer Electronics,Information Technology,Internet,Media","Boulder,Denver,Los Angeles,Seattle,Silicon Valley"
Doug Charron,"Automated Kiosk,Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile,Retail Technology",
Doug Henston,"Clean Energy,Clean Technology,Specialty Chemicals,Water",
HFPX,"Bridging Online and Offline,Business Services,Cloud Computing,Consumer Internet,E-Commerce,E-Commerce Platforms,Enterprise Software,Food and Beverages,Gift Card,Local Based Services,Mobile,Mobile Commerce,Mobile Payments,Restaurants,SaaS,Sales and Marketing,Social Commerce,Weddings",Brazil
Eduardo Amadeo,"B2B,Business Services,Casual Games,Consumer Internet,Creative Industries,Digital Media,Incubators,Mobile,Mobile Games,Retail,Social Games,Social Media,Technology,Video Streaming","Argentina,Buenos Aires,Chile,Santiago"
Kellie Menendez,,
Gokuldas Pillai,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Yuan Yuan,,Mountain View
Gordon Crovitz,"Big Data,Business Travelers,Consumer Internet,Digital Media,Journalism,Mobile,News,Online Travel,Social Media,Social News,Tourism,Travel,Video",New York
Angela Gyetvan,,"London,Los Angeles,New York City,San Francisco"
Izzy Azeri,,
Jaime Taboada,,
David Weiden,"Health Care,Health Care Information Technology,Information Technology,Mobile,Mobile Commerce,Mobile Coupons,Mobile Payments,Sensors,Small and Medium Businesses,Video,Wireless","New York City,Silicon Valley,United Kingdom,United States"
Steven Cohen,"Clean Energy,Social Media,Water","Mid Atlantic,Princeton"
Simeon Simeonov,"Ad Targeting,Advertising,Advertising Platforms,Android,Application Platforms,B2B,Big Data,Business Services,CRM,Cloud Computing,Cloud Management,Collaboration,College Campuses,Consumer Internet,Consumers,Coupons,Crowdsourcing,Data Centers,Deals,Deep Information Technology,Digital Media,E-Commerce,E-Commerce Platforms,Education,Email,Email Newsletters,Enterprise Security,Enterprise Software,Financial Services,Flash Sales,Flash Storage,Fraud Detection,Games,Health Care,Health Care Information Technology,Information Technology,Infrastructure,Internet,Internet Infrastructure,Kids,Lead Generation,Local,Local Coupons,Location Based Services,Loyalty Programs,Machine Learning,Marketplaces,Mass Customization,Media,Mobile,Mobile Advertising,Mobile Commerce,Mobile Coupons,Mobile Enterprise,Mobile Payments,Multi-level Marketing,Online Travel,Parenting,Payments,Peer-to-Peer,Performance Marketing,Platforms,QR Codes,Quantitative Marketing,Real Time,Retail,SEO,SaaS,Sales Automation,Sales and Marketing,Security,Small and Medium Businesses,Social Commerce,Social Games,Social Media Marketing,Storage,Telecommunications,Virtual Goods,Virtual Workforces,Wine And Spirits,Women-Focused,iPhone","Boston,Cambridge UK,New York City,Palo Alto,San Francisco"
Amr Awadallah,"Analytics,Big Data,Data Mining,Information Technology,Storage,Virtualization","Egypt,Menlo Park,Mountain View,Palo Alto,San Francisco,Santa Clara,Silicon Valley,Sunnyvale"
Michael Schuster,"Consumer Internet,Enterprise Software,Mobile","Austria,Bulgaria,Croatia,Czech Republic,Germany,Serbia,Slovakia,Slovenia,Switzerland,Vienna"
David Seldin,"Bridging Online and Offline,Clean Technology,Consumer Internet,Enterprise Software,Marketplaces,Mobile,Social Commerce,Social Media",California
Rebecca Kaden,"Consumer Internet,E-Commerce,Mobile,Mobile Commerce,Social Commerce,Social Media","Los Angeles,New York City,San Francisco,Seattle,Washington DC"
Parsa Saljoughian,"Advertising,Analytics,Big Data,Cloud Computing,Consumer Internet,Digital Media,E-Commerce,Education,Enterprise Software,Finance Technology,Local Advertising,Location Based Services,Machine Learning,Marketplaces,Mobile,Mobile Advertising,Mobile Games,Mobile Payments,Music,Online Travel,Payments,SaaS,Security,Social Commerce,Social Games,Social Media,Tablets,Video Games","Austin,Los Angeles,Menlo Park,New York City,San Francisco,Seattle,Washington DC"
Peter Lee,"Advertising,Consumer Internet,E-Commerce,Internet,Mobile,SaaS","Los Angeles,Southern California"
Kevin Spain,"Advertising Exchanges,Advertising Networks,Advertising Platforms,Analytics,Business Services,Cloud Computing,Digital Media,Information Services,Local Advertising,Mobile,Mobile Advertising,Mobile Commerce,Mobile Coupons,Mobile Games,Mobile Payments,Payments,Retail Technology,SaaS,Sales and Marketing,Social Media,Social Media Platforms","Los Angeles,New York City,Palo Alto,San Francisco,Seattle,Silicon Valley"
Renee Park,"B2B,E-Commerce,Enterprise Software,Mobile,SaaS",New York City
Eric Gomberg,"Cloud Computing,Consumer Internet,E-Commerce,Enterprise Software,Mobile","New York City,United States"
Mike Dauber,"Analytics,Big Data,Big Data Analytics,Business Intelligence,Clean Technology,Cloud Computing,Cloud Data Services,Cloud Infrastructure,Cloud Management,Collaboration,Collaborative Consumption,Consumer Internet,Data Centers,Data Integration,Data Mining,Databases,Energy IT,Enterprise Software,Information Technology,Local,Mobile,Networking,PaaS,SaaS,Storage","Austin,Menlo Park,Mountain View,Northern California,Palo Alto,San Francisco,Silicon Valley,United States,Virginia,Washington DC"
Christian Hernandez,"Analytics,Audio,B2B,Big Data,Consumer Internet,Crowdsourcing,E-Commerce,Email,Fashion,Fitness,Hardware,Kids,Local Based Services,Maps,Mobile,Parenting,Publishing,SaaS,Search,Social Commerce,Social Games,Social Media,Software,Sports,Women-Focused","Berlin,Istanbul,London,New York City,San Francisco,San Salvador,Sao Paulo,Silicon Valley,Southern California,Stockholm"
Shotaro Tanaka,"All Markets,B2B,Big Data,Collaboration,Consumer Internet,Deep Information Technology,Digital Media,E-Commerce Platforms,Enterprise Software,Finance,Health Care,Marketplaces,Mobile,Mobile Health,Social Commerce,Social News","Asia,Europe,Hong Kong,Japan,New York City,Silicon Valley,Tokyo"
John-Paul Gallo,"Big Data,Bitcoin,Business Intelligence,Developer Tools,Enterprise Software,Finance Technology,Financial Exchanges,Financial Services,Virtual Currency","Los Angeles,San Francisco,Toronto"
Rob Paull,"Consumer Internet,Enterprise Software,Health Care,Mobile",
Shahid Hussain,,"London,San Francisco"
Jason Yeh,"Bridging Online and Offline,Consumer Internet,Digital Media,E-Commerce,Education,Entertainment,Health Care,Internet,Marketplaces,Media,Mobile,Music,Retail,Sports,Video Games","Asia,China,Irvine,Los Angeles,New York,New York City,Santa Monica"
Bill Clerico,,Palo Alto
Stephen Marcus,"Consumer Internet,Enterprise Software,Mobile,Telecommunications,Wireless","Boston,New York City,San Francisco"
Victor B. Dillard,,London
Edward Choi,,
Uri Pomerantz,,
Christopher Stone,,"Boston,Salt Lake City"
Tobias Kemper,,San Francisco
Marc Andreessen,Information Technology,"Menlo Park,Silicon Valley"
Nicolas Szekasy,,
Sam Gerstenzang,"Consumer Internet,Enterprise Software,Health Care,Marketplaces,Mobile","California,Silicon Valley"
Todd Hixon,"Android,Consumer Internet,Families,Health Care,Health Care Information Technology,Mobile,Online Dating,Social Media,iOS","Boston,New York"
Denver Dale,"Agriculture,Biotechnology,Clean Technology,Defense,Energy,Health Care,Industrial,Mining Technologies","Basel,Boston,Brisbane,Cambridge MA,Hong Kong,London,Melbourne,Monterey,Oxford,Palo Alto,Silicon Valley,Singapore,Sydney,Zurich"
George Mills,"Advertising,Audio,Bridging Online and Offline,Consumer Internet,Crowdsourcing,Digital Media,E-Commerce,Education,Entertainment,Families,Film,Film Distribution,Financial Services,Internet TV,Media,Mobile,Mobile Payments,Personal Finance,Restaurants,Retail,Search,Small and Medium Businesses,Social Media,Subscription Businesses,Television","Berlin,Bristol,Copenhagen,Edinburgh,Europe,Helsinki,Israel,Leeds,London,Manchester,Oslo,Paris,Rome,Tel Aviv-yafo,United Kingdom"
Ray Hwang,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Information Technology,Mobile","United States,Washington DC"
Rich Miner,"Consumer Internet,Consumers,Mobile,Speech Recognition,Telecommunications,Video","Boston,Cambridge MA,San Francisco,Silicon Valley"
Santo Politi,Information Technology,Boston
Santiago Caniggia Bengolea,"Biotechnology,Clean Technology,Consumer Internet,E-Commerce,Enterprise Software,Health Care,Lead Generation,Mobile,Renewable Energies","Brazil,Chile,Colombia,United States"
Alexander Frolov,"Clean Technology,Consumer Internet,E-Commerce,Enterprise Software,Health Care,Mobile,SaaS",Europe
Roman Fleck,"Biotechnology,Clean Technology,Health Care","Europe,United States"
Brandon Farwell,,
Chip Meakem,Digital Media,New York City
Christian Siegele,,
Pit Karbe,,
Fred Kang,"Advertising,Advertising Platforms,Consumer Internet,E-Commerce,Enterprise Software,Location Based Services,Mobile,Mobile Advertising,Mobile Games,Shoes,Social Games,Social Media,Venture Capital","Chicago,Los Angeles,Massachusetts,New York,North America,San Francisco,Silicon Valley"
Ray Jones,"Agriculture,Big Data,Clean Technology,Consumer Internet,Enterprise Software,Health Care,Information Technology,Mobile,Predictive Analytics,Venture Capital",
Alexander Lloyd,"Advertising,Brand Marketing,E-Commerce,Information Technology,Internet,Location Based Services,Social Commerce","New York,New York City,San Francisco,Seattle,Silicon Valley"
Nuno Goncalves Pedro,"Android,Apps,Mobile,Photo Sharing,Photography,Privacy,Private Social Networking,Social Media,Storage,Venture Capital,VoIP","Beijing,London,San Francisco,Seoul,Silicon Valley,Singapore,Tokyo"
Charlotte Torres,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Shifatur Rahman,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Bangladesh,Earth,Germany,India,United States"
Rick Prostko,"Application Platforms,Big Data,Consumer Internet,Data Mining,E-Commerce,Education,Enterprise Software,Finance Technology,Financial Services,K-12 Education,Mobile,Mobile Payments,Payments,Professional Networking,Recruiting,SaaS,Social Media,Social Recruiting,Telecommunications","Los Angeles,New York,New York City,Palo Alto,Philadelphia,San Francisco,Silicon Valley"
Robin Klein,"Digital Media,E-Commerce,Electric Vehicles,Information Technology,SaaS","Europe,London,San Francisco,Silicon Valley"
Christine Herron,"Consumer Internet,Information Technology","New York City,San Francisco,Silicon Valley"
Stephen Chau,"Application Platforms,Audiobooks,Bridging Online and Offline,Consumer Internet,Developer APIs,Developer Tools,Digital Media,Email,Health Care Information Technology,Maps,Mobile,Mobile Payments,News,Restaurants,Search",California
Larry Marcus,"Advertising,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Mobile,Mobile Games,Music,Social Media","San Francisco,Silicon Valley,Woodside"
Danya Cheskis-Gold,Consumer Internet,
Carter Adamson,"Consumer Internet,Invest Online","New York,New York City,Silicon Valley"
David Beisel,"Advertising,Analytics,Consumer Internet,Infrastructure,Internet,Mobile,SaaS",Boston
Paul Willard,"Consumer Internet,Mobile","San Francisco,San Mateo,Silicon Valley"
George Zeng,,
Jonathan Roosevelt,"Consumer Internet,Digital Media,Enterprise Software,Mobile","Berkeley,Boston,New York,San Francisco"
Ben Nye,"Analytics,B2B,CRM,Cloud Infrastructure,Cloud Management,Enterprise Software,IaaS,Information Technology,Internet Infrastructure,Loyalty Programs,Mobile,Productivity Software,Restaurants,SaaS",Boston
Ryan Bloomer,"Mobile Advertising,Mobile Commerce,Mobile Health,Online Travel","Boston,Japan,London,New York City,San Francisco,Singapore,Taiwan"
Benjamin D. Black,Information Technology,"San Francisco,Silicon Valley"
Vladimir Tenev,"Artificial Intelligence,Bitcoin,Clean Technology,Consumer Internet,Enterprise Software,Finance Technology,Health Care,Mobile,Personal Finance","New York City,Palo Alto,San Francisco,Silicon Valley,Washington DC"
Daniel Mattio,,"Los Angeles,New York City,San Francisco"
Edward Fu,"Big Data,Bridging Online and Offline,Cloud Data Services,Consumer Internet,Data Mining,Digital Media,Education,Fashion,Internet,Mobile,Mobile Commerce,Mobile Games,Social Commerce,Social Media,Social Media Marketing,Social Media Platforms","Boston,Irvine,Los Angeles,New York City,San Diego,San Francisco,Santa Barbara,Santa Monica,Seattle,Silicon Valley,Southern California"
Nathan Benaich,"Clean Technology,Consumer Internet,E-Commerce,Enterprise Software,Health Care,Marketplaces,Mobile,Mobile Commerce","Europe,London"
Jennifer Fonstad,"All Markets,Clean Technology,Consumer Internet,Enterprise Software,Life Sciences,Mobile","Europe,Los Angeles,Massachusetts,New York,North America,San Francisco,Silicon Valley"
Faaez Ul Haq,,
Ella Merjanova,"Analytics,Clean Technology,Collaborative Consumption,Consumer Internet,Digital Media,E-Commerce,Food and Beverages,Health and Wellness,Life Sciences,Location Based Services,Marketplaces,Mobile,Nutrition,Online Rental,SaaS,Social Commerce,Social Media,Sustainability","San Francisco,Silicon Valley"
Joseph Ajao,"College Recruiting,E-Books,E-Commerce,Education,Educational Games,Finance,Mobile,Mobile Commerce,Payments,SaaS,Video","Abuja,Cologne,Dubai,East Lansing,Ghana,Hong Kong,India,Johannesburg,Kenya,Lagos,Madrid,Michigan,Nairobi,New York City,Nigeria,Palo Alto,San Francisco,South Africa,Stuttgart"
Fabian Siegel,"Consumer Internet,E-Commerce,Enterprise Software,Food and Beverages,Health Care,Health Care Information Technology,Health and Wellness,Media,Mobile,Mobile Health,Music,Personal Health,Restaurants,SaaS,Social Media,Supply Chain Management,Teenagers,Telecommunications",Earth
Jeremie Berrebi,"Advertising,Advertising Platforms,Analytics,Big Data,Big Data,Bridging Online and Offline,Casual Games,Cloud Computing,Consumer Goods,Consumer Internet,Digital Media,E-Commerce,Education,Email,Enterprise Software,Fashion,Hardware,Health and Wellness,Internet,Internet TV,Local,Location Based Services,Marketplaces,Mobile,Mobile Advertising,Mobile Commerce,Mobile Games,Parenting,Retail Technology,SaaS,Sales and Marketing,Small and Medium Businesses,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Social Media Platforms,Social Media Platforms,Video Games","Canada,China,Denmark,Earth,Europe,France,Israel,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States"
David Pardo,"Aerospace,E-Commerce,Financial Services,Local Businesses,Location Based Services,Marketplaces,Mobile,Mobile Commerce,Mobile Payments,Payments,Price Comparison,Space Travel",New York City
Richard Mordini,"Android,B2B,Bridging Online and Offline,Consumer Internet,Digital Media,Location Based Services,Mobile,Payments","San Francisco,Silicon Valley"
Josh Hannah,"Analytics,Big Data,Consumers,E-Commerce,Enterprise Software,Gambling,Internet,Marketplaces,Mobile,Mobile Commerce,SaaS,Social Commerce,Social Media,Software","Los Angeles,New York City,Oakland,Silicon Valley"
Dustin Dolginow,"Advertising,All Markets,Analytics,Big Data,Bridging Online and Offline,Business Productivity,Cloud Computing,Consumer Internet,Consumers,Digital Media,E-Commerce,Education,Enterprise Software,Fashion,Financial Services,Health and Wellness,Identity,Internet,Local,Location Based Services,Maps,Marketplaces,Mobile,Mobile Commerce,Payments,Personal Finance,Retail,Retail Technology,SaaS,Sales Automation,Small and Medium Businesses,Social Commerce,Social Games,Social Media","Boston,Earth,East Coast,Los Angeles,Palo Alto,Philadelphia,San Francisco,Santa Monica,Silicon Valley,Vancouver"
Loughlin Rodd (Sam),,
Gil Silberman,"Beauty,Clean Technology,Consumer Internet,E-Commerce,Enterprise Software,Financial Exchanges,Financial Services,Health and Wellness,Legal,Mobile,Personal Finance,Small and Medium Businesses,Social Media,Spas,Venture Capital","San Francisco,Silicon Valley"
Greg Bettinelli,"Ad Targeting,Advertising,Advertising Exchanges,Advertising Platforms,Agriculture,Analytics,Apps,Big Data Analytics,Brand Marketing,Bridging Online and Offline,Collaborative Consumption,Consumer Goods,Consumer Internet,Consumers,Custom Retail,Deals,Demographies,Digital Media,Direct Marketing,E-Commerce,E-Commerce Platforms,Email,Email Marketing,Events,Fantasy Sports,Fashion,Flash Sales,Golf Equipment,Home Automation,Jewelry,Local Advertising,Loyalty Programs,Marketplaces,Mobile,Mobile Advertising,Mobile Commerce,Mobile Payments,Music,Online Travel,Payments,Performance Marketing,Point of Sale,Quantitative Marketing,Retail,Retail Technology,Sales and Marketing,Social Commerce,Social Media,Specialty Retail,Sports,Travel,Vending and Concessions,Water","Fresno,Los Angeles,Monterey,New York,Orange County,Portland,Sacramento,San Diego,San Francisco,San Luis Obispo,Santa Barbara,Santa Monica,Seattle,Silicon Valley"
Fabio Iunis C. de Paula,,
Andrew McLaughlin,,
Wei Lien Dang,"Big Data,Big Data Analytics,Cloud Computing,Enterprise Software,Mobile,SaaS","Menlo Park,Mountain View,Palo Alto,Redwood City,San Francisco,San Mateo,Silicon Valley,Sunnyvale"
"Cara Brennan Allamano, MS, SPHR","Enterprise Software,Social Media",San Francisco
Jeremy Levine,"Consumer Internet,Consumers,Information Technology,Internet,Retail,SaaS",New York City
Charles Beeler,"Big Data,Cloud Computing,Cloud Management,Enterprise Software,Information Technology,Internet,SaaS,Security,Storage,Virtual Desktop,Virtualization","California,Earth,Menlo Park,Midwestern States,Minneapolis,Minnesota,Silicon Valley,Texas,Washington"
Paul Veradittakit,"Analytics,Android,Apps,Big Data,Big Data Analytics,Business Productivity,College Campuses,Consumer Internet,Consumers,Education,Events,Fashion,Finance,Fitness,Health Care,Health and Wellness,Incubators,Kids,Local,Location Based Services,Media,Mobile,Mobile Commerce,Mobile Games,Mobile Health,Online Dating,Photo Sharing,Photography,Predictive Analytics,Productivity Software,Restaurants,Retail,Social Commerce,Social Games,Social Media,Sports,Technology,Travel,Travel &amp; Tourism,Ventures for Good,Weddings,iPad,iPhone","San Francisco,Silicon Valley"
Johan Lorenzen,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",Copenhagen
Monica Calicchio,,
Ashu Garg,"Advertising Platforms,Clean Technology,Consumer Internet,Education,Enterprise Software,Financial Services,Mobile","Palo Alto,San Francisco,San Mateo"
Wayne Gibbins,"Big Data,Big Data Analytics,Cloud Computing,Cloud Data Services,E-Commerce,Enterprise Software,SaaS","Barcelona,Berlin,London,Madrid,Paris,Tel Aviv-yafo"
Michelle Daubar,,
Sean Seton-Rogers,"Bridging Online and Offline,E-Commerce,Education,Fashion,Health Care,Internet,Location Based Services,Maps,Mobile,Travel","Berlin,Europe,Finland,London,New York City,Stockholm"
Martin S. Hauge,"Augmented Reality,Cloud-Based Music,Computer Vision,Consumer Internet,Enterprise Software,Mobile,Mobile Games,Mobile Payments,Social Games,Venture Capital","Europe,Stockholm"
Matthieu Sagnier,"Application Platforms,B2B,Clean Technology,Consumer Internet,Consumers,Developer APIs,Developer Tools,Digital Media,Enterprise Software,Health Care Information Technology,Healthcare Services,Hospitals,Marketplaces,Mobile,Social Media,Sports","Europe,Geneva,London,New York City,Paris,Silicon Valley"
Kevin Efrusy,"Digital Media,Freemium,Internet,Open Source,Social Media","Palo Alto,Silicon Valley"
Howard Lindzon,"Consumer Internet,Customer Support Tools,E-Commerce,Education,Financial Exchanges,Financial Services,Location Based Services,Marketplaces,Mobile,SaaS,Sales and Marketing,Social Media,iOS,iPhone","California,New York,New York City,North America,San Diego"
Skip Fleshman,"Clinical Trials,Consumer Goods,Consumer Internet,Digital Health,Enterprise Software,Health Care,Health Care Information Technology,Health and Wellness,Mobile,Mobile Health","California,Palo Alto"
Matt Miesnieks,,San Francisco
Sebastian,Financial Services,"Asia,Brazil,Europe"
Stephen Culp,"3D Technology,Active Lifestyle,Adventure Travel,Advertising,Analytics,Apps,B2B,Big Data,Big Data Analytics,Bridging Online and Offline,Business Analytics,Consumer Goods,Consumer Internet,Coworking,Creative,Creative Industries,Custom Retail,Diagnostics,Digital Media,Distribution,Education,Entrepreneur,Exercise,Google Apps,Graphics,Health and Wellness,Home Decor,Incubators,Information Technology,Interior Design,Internet Marketing,Law Enforcement,Local,Logistics,Manufacturing,Mass Customization,Mobile,Nonprofits,Office Space,Online Rental,Online Reservations,Online Travel,Optimization,Personal Health,Personalization,Private School,Real Time,Retail,SaaS,Sales and Marketing,Small and Medium Businesses,Social Innovation,Startups,Supply Chain Management,Surfing Community,Visualization,Web Development,Wireless","Atlanta,Birmingham AL,Boulder,Chattanooga,District of Columbia,Georgia,Huntsville,Knoxville,Nashville,North Carolina,Palo Alto,Silicon Valley,Tennessee,Virginia,Washington"
Adam Lisagor,,
Jason Bailey,"Advertising,Analytics,Automotive,Clean Technology,Consumer Internet,Electric Vehicles,Games,Green,Internet,Lead Generation,Local,Location Based Services,Mobile,Mobile Advertising,Mobile Commerce,Mobile Coupons,Mobile Games,Payments,Social Commerce,Social Games,Social Media,Social Media Marketing,iOS,iPad,iPhone","Canada,Mountain View,San Francisco,Silicon Valley,Vancouver"
Andrew Altorfer,,
Ron Hillmann,"Boating Industry,Classifieds,Collaborative Consumption,E-Commerce,Fashion,Games,Internet Marketing,Lead Generation,Marketplaces,Mass Customization,Mobile,Mobile Payments,Online Reservations,Online Travel,Payments,SaaS,Shoes,Social Commerce","Berlin,Delaware,Vina Del Mar"
Simon Rothman,"Automotive,Consumer Internet,E-Commerce,Marketplaces,Mobile,Mobile Video,Social Commerce,Social Media Platforms","Palo Alto,Silicon Valley"
Marcia Goodstein,,
Michael C. MÃ_nnix,,
Jason Schultz,"Angels,Bridging Online and Offline,Consumer Internet,E-Commerce,Health Care,Health Care Information Technology,Health and Wellness,Incubators,Information Technology,Lead Generation,Marketplaces,Mobile,Mobile Commerce,Personal Health,Quantified Self,SaaS,Social Commerce,Social Investing,Virtual Workforces,Wireless","California,Irvine,Newport Beach,Northern California,Orange County,Palo Alto,San Francisco,Silicon Valley,Southern California,Switzerland,Tiburon"
Katie Frankel,,
Dave Lubnik,,
Ben Holzman,"Analytics,Cloud Infrastructure,Cloud Management,Collaborative Consumption,Custom Retail,E-Commerce,Enterprise Software,Fashion,IaaS,Internet Infrastructure,Mass Customization,Productivity Software,SaaS,Storage,Supply Chain Management","Boston,United States"
Kevin Carter,,
Joe Wadcan,"All Markets,Analytics,Consumer Internet,Deep Information Technology,Embedded Hardware and Software,Enterprise Software,Information Technology,Location Based Services,Mobile,Mobile Advertising,Mobile Payments,Personal Data,Retail Technology,SaaS,Social Commerce,Social Media,Technology,iPhone","Berkeley,Chicago,Los Angeles,Massachusetts,New York,San Francisco,Silicon Valley"
Jon Callaghan,Information Technology,"Silchar,Silicon Valley"
Lee Essner,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Los Angeles,Silicon Valley"
Jesse Janosov,,
Michelle Lam,"Consumer Internet,Enterprise Software,Mobile","Los Angeles,New York City,San Francisco"
Mark Mullen,"Advertising Platforms,Digital Media,Enterprise Software,Mobile,Mobile Commerce,SaaS,Telecommunications","California,Colorado,New York City,Oregon,Vancouver"
Aadil Mamujee,"Advertising Platforms,Analytics,B2B,Big Data,Bridging Online and Offline,Chat,Consumer Internet,Digital Media,E-Commerce,E-Commerce Platforms,Fitness,FreetoPlay Gaming,Games,Life Sciences,Marketplaces,Messaging,Mobile,Mobile Advertising,Mobile Commerce,Mobile Games,SaaS,Social Commerce,Tablets","Kenya,London,Nairobi,San Francisco,Silicon Valley"
Aleksandr Yampolskiy,"Clean Technology,Consumer Internet,Enterprise Software,Flash Sales,Health Care,Mobile,Software","New York City,United States"
Dylan Pearce,"Consumer Internet,Enterprise Software,Mobile","Boston,Los Angeles,New York City,North America,San Francisco,Silicon Valley"
Neal Hansch,"Advertising,Analytics,Big Data,Clean Technology,Consumer Internet,E-Commerce,Enterprise Software,Games,Health Care,Health Care Information Technology,Marketplaces,Mobile,Mobile Advertising,Mobile Commerce,Mobile Games,SaaS,Sales and Marketing,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Ventures for Good","District of Columbia,Illinois,Los Angeles,Massachusetts,New York,Northern California,Portland,San Diego,San Francisco,Santa Monica,Seattle,Silicon Valley,Virginia"
Aileen Lee,"Analytics,Bridging Online and Offline,Consumer Internet,E-Commerce,Enterprise Software,Information Technology,Local,Local Services,Marketplaces,Mobile,Mobile Analytics,Mobile Enterprise,Mobile Payments,Parenting,Payments,Photo Sharing,Social Commerce,Travel,Women-Focused","Austin,Boston,New York City,Palo Alto,San Francisco,Silicon Valley,Southern California"
Nick Wyman,"Aerospace,Bridging Online and Offline,Collaborative Consumption,Consumer Internet,Contact Management,Deep Information Technology,Developer APIs,Education,Enterprise Software,Hardware,Marketplaces,Mobile,Robotics,SaaS,Social Media,Space Travel,Test and Measurement","Boulder,Los Angeles,New York,San Francisco,Silicon Valley"
Karl Hu,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Chicago,Los Angeles,New York City,San Francisco"
Alex Benik,,
Andrew Ryan,,
Tom Baruch,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",United States
Etta Lin,"E-Commerce,Internet","New York City,San Francisco"
Alex Oppenheimer,,"Boston,Chicago,Florida,Israel,Maryland,Michigan,New Hampshire,New York City,North Carolina,Pennsylvania,South Carolina,Texas,Washington DC"
David Vivero,"3D Technology,Analytics,Banking,Bridging Online and Offline,Collaborative Consumption,Commercial Real Estate,Computer Vision,Consumer Internet,Enterprise Software,Finance,Financial Services,Marketplaces,Mobile,Online Rental,Parenting,Real Estate,SaaS","New York City,San Francisco,Silicon Valley"
Shawn Bercuson,"Bridging Online and Offline,Consumers,Health Care,Internet,Marketplaces","Florida,San Francisco,United States,Utah"
Rob Jonas,"Advertising Platforms,Clean Energy,Consumer Internet,Email,Enterprise Software,Maps,Mobile,Publishing,Search,Social Search","Europe,India,North America"
Sharang Waghmare,,
