company_name,investor_name
Lessonwriter,Betaspring
"MoveableCode, Inc.",Betaspring
Pennant,Betaspring
RaftOut,Betaspring
RecoVend,Betaspring
Rootless,Betaspring
Scholrly,Betaspring
ShutterCal,Betaspring
Sitefly,Betaspring
SkillHound,Betaspring
Tweetwall,Betaspring
Splashscore,Betaspring
Wisr,Betaspring
Learning Hyperdrive,Betaspring
SurpriseRide,Betaspring
TennisHub,Betaspring
Thryve,Betaspring
Thumbs Up,Betaspring
Waygo,Betaspring
Umbie DentalCare,Betaspring
ZoomTilt,Betaspring
Catapulter,Betaspring
Diavibe,Betaspring
Accelereach,Betaspring
Zokos,Betaspring
NuLabel Technologies,Betaspring
WeOwe,Betaspring
Minds in Motion Electronics (MiME),Betaspring
Leotus,Betaspring
Expedit.us,Betaspring
tu.nr,Betaspring
Periscape,Betaspring
Databraid,Betaspring
"Mosec, Mobile Secretary",Betaspring
Hope Street Media,Betaspring
Conversation Media,Betaspring
APE Systems,Betaspring
AutoBike,Betaspring
Tumblr,betaworks
Summize,betaworks
ideeli,betaworks
Lookery,betaworks
Snaptalent,betaworks
Songkick,betaworks
Covestor,betaworks
Someecards,betaworks
Lotame,betaworks
Outside.in,betaworks
OMGPOP,betaworks
Mob.ly,betaworks
Tipjoy,betaworks
Outside.in,betaworks
StockTwits,betaworks
StockTwits,betaworks
TweetDeck,betaworks
UserVoice,betaworks
ChallengePost,betaworks
gdgt,betaworks
DailyBooth,betaworks
Hot Potato,betaworks
Superfeedr,betaworks
Outside.in,betaworks
Venmo,betaworks
Backupify,betaworks
Bitly,betaworks
Bitly,betaworks
gdgt,betaworks
UberMedia,betaworks
TweetDeck,betaworks
Extension Entertainment,betaworks
Fluidinfo,betaworks
Open Places,betaworks
SocialFlow,betaworks
Ze Frank Games,betaworks
Embedly,betaworks
GroupMe,betaworks
AdKeeper,betaworks
Bitly,betaworks
GroupMe,betaworks
OMGPOP,betaworks
OnSwipe,betaworks
Path,betaworks
Yieldbot,betaworks
Kickstarter,betaworks
Bloom Studio,betaworks
SocialFlow,betaworks
Extension Entertainment,betaworks
OnSwipe,betaworks
Embedly,betaworks
Findery,betaworks
just.me,betaworks
ChallengePost,betaworks
ShowMe,betaworks
Piictu,betaworks
Clipboard,betaworks
Lascaux Co.,betaworks
IFTTT,betaworks
Everlane,betaworks
Highlight,betaworks
Branch,betaworks
Couple,betaworks
Frontback,betaworks
Moped,betaworks
Keep Holdings,betaworks
CasaHop,betaworks
Bloglovin,betaworks
Bloglovin,betaworks
Punch!,betaworks
RebelMouse,betaworks
Pickie,betaworks
Seesaw,betaworks
Nitrogram,betaworks
Picturelife,betaworks
Svbtle,betaworks
Editorially,betaworks
Summly,betaworks
Namo Media,betaworks
LayerVault,betaworks
Star.me,betaworks
Fancy Hands,betaworks
Koa.la,betaworks
Grand St.,betaworks
SocialFlow,betaworks
Bondsy,betaworks
Ditto,betaworks
Livestar,betaworks
Rap Genius,betaworks
CollabFinder,betaworks
Memoir,betaworks
Socratic,betaworks
URX,betaworks
makr,betaworks
Estimote,betaworks
Mindie,betaworks
Medium,betaworks
Kabam,Betfair
Dwolla,BetterWorks (Closed)
iwoca,Beyond Digital Media
iwoca,Beyond Digital Media
Collibra,Bi3 Solutions
Biomimedica,Biedermann Motech
NanoBio,Bill & Melinda Gates Foundation
Uversity,Bill & Melinda Gates Foundation
Liquidia Technologies,Bill & Melinda Gates Foundation
Startup Weekend,Bill & Melinda Gates Foundation
Seventh Sense Biosystems,Bill & Melinda Gates Foundation
Atreca,Bill & Melinda Gates Foundation
Genocea Biosciences,Bill & Melinda Gates Foundation
Uversity,Bill & Melinda Gates Foundation
Visterra,Bill & Melinda Gates Foundation
BetterLesson,Bill & Melinda Gates Foundation
ZYOMYX,Bill & Melinda Gates Foundation
ConnectEdu,Bill & Melinda Gates Foundation
Visterra,Bill & Melinda Gates Foundation
EducationSuperHighway,Bill & Melinda Gates Foundation
ReformTech Sweden AB,BioArt AB
Thelial Technologies,Biocant Ventures
Intellikine,Biogen Idec
Virdante Pharmaceuticals,Biogen Idec
Provasculon,Biogen Idec
Raven Biotechnologies,Biogen Idec
iPierian,Biogen Idec
Museum of Science,Biogen Idec
PIERIS Proteolab,BioM AG
Orca Pharmaceuticals,BioMotiv
Tetra Discovery,Biosciences Research & Commercialization Center
NephroGenex,BioStratum
Synthetic Biologics,Biotechnology and Biological Sciences Research Council (BBSRC)
The University of Nottingham,Biotechnology and Biological Sciences Research Council (BBSRC)
InterMed Discovery,Biotropics Malaysia Berhad
Pepscan,Biox Biosciences
EnStorage,BIRD Foundation
"Princeton Power System,Inc.",BIRD Foundation
for; to (do),Birri Holdings
Kanoco,Birri Holdings
Rockford Foresters Baseball Team,"Bison Sporting Events, LLC"
Karo Internet,Bitclick GmbH
ToonTime,Bitfactory Holding
s0cket,Bizar Mobile Pty Ltd
Wedit,Bizdom
PicketReport.com,Bizdom
Chalkfly,Bizdom
GreenLancer,Bizdom
Easel Learn,Bizdom
Bizeso Services Private Limited,bizeso services pvt ltd
Tastebuds,Black Ocean
Talentory.com,Black River Ventures
IGLOO Software,Blackberry
PicRate.Me,Blackberry
The Coveteur,Blackpoynt Ventures
Blackstone Digital Agency,Blackstone Asia
Radical Studios,"Blatant Entertainment, Inc."
AeroDron,BLOMASA
xG Technology,"Blooston, Mordkofsky, Dicken, Duffy & Prendergast"
Gecko Health Innovation (GeckoCap),Blue Cross Blue Shield
Composeright,Bluechilli
mobiManage,Bluefrog Interactive
Budge,Bluehawk Capital
People Operating Technology,Bluemind Ventures
iCouch,Blueprint Health Accelerator
iMedicare,Blueprint Health Accelerator
AdhereTech,Blueprint Health Accelerator
Choose Energy,Bluescape
Shopcaster,BNOTIONS
GOSO,Boalt Holdings
ShopInterest,BodaBus
Extreme Enterprises,"Boiler Enterprises, LP."
Sport Telegram,bold.dk
Planbox,Bolidea
Veduca,Bolt Ventures
Veduca,Bolt Ventures
Subsidence,Bolt.io
Enswers,Bon Angels
myRealTrip,Bon Angels
Appcore,BON Fund
Hittahem,Bonnier Corporation
AKAMON ENTERTAINMENT,Bonsai Venture Capital
From The Bench,Bonsai Venture Capital
GRIN Publishing,Books on Demand
IActionable,BoomStartup
KarmaKey,BoomStartup
Icount.com,BoomStartup
Cycle,Boost VC
AuditFile.com,Boost VC
BitWall,Boost VC
Unemployment-Extension.Org,BoostBargains
Perceivant,Bootstrap Incubation
LayerBoom,Bootup Labs
AdHack,Bootup Labs
Overinteractive Media,Bootup Labs
Letsgofordinner,Bootup Labs
Contractually,Bootup Labs
Summify,Bootup Labs
Blast Ramp,Bootup Labs
Compass Engine,Bootup Labs
Statusly,Bootup Labs
Zedmo,Bootup Labs
Storm Media Innovations Inc,Bootup Labs
Brandtree,Bootup Labs
SURF Communication Solutions,BOS Better On-Line Solutions
Pebbles Interfaces,Bosch
AskNshare,Bose International Investement Fund
AskNshare,Bose International Investement Fund
Sadra Medical,Boston Scientific
Sadra Medical,Boston Scientific
Health Hero Network(Bosch Healthcare),Boston Scientific
Adiana,Boston Scientific
Brainsgate,Boston Scientific
Neuros Medical,Boston Scientific
BAROnova,Boston Scientific
Channel Medsystems,Boston Scientific
SetPoint Medical,Boston Scientific
Atari,Boussard & Gavaudan Holding
Edition01,Boxee
Nanobiotix,Bpifrance
Withings,Bpifrance
Skuldtech,Bpifrance
GamaMabs Pharma,Bpifrance
Talend,Bpifrance
Lucibel,Bpifrance
"ChargePoint, Inc.",Braemer Energy Ventures
Jan Medical,BrainLAB
Changers,Brandenburg GmbH
Secret Sales,brands4friends
"LendKey Technologies, Inc.",Brazos Group
CoachUp,Bridge Boys LLC
GadgetATM,Brightahead Ventures
clypd,Brightcove
Clearwire,BrightHouse
Clearwire,BrightHouse
YaSabe,Brightstar
XDx,Bristol-Myers Squibb
XDx,Bristol-Myers Squibb
AlertMe,British Gas
Power Plus Communications,British Gas
Verenium,British Petroleum
MIT Energy Initiative,British Petroleum
Fon,British Telecom
Location Labs,British Telecom
Real Time Content,British Telecom
BroadLight,Broadcom
Tilera,Broadcom
BroadLight,Broadcom
nCrypted Cloud,Broadcom
RedHill Biopharma,Broadfin
Tacit Networks,Brocade Communications Systems
Zettaset,Brocade Communications Systems
SilverRail Technologies,Brook Ventures
CreatiVasc Medical,Brookhaven Medical
Mixers,Bros Associates Ltd.
REALTIME.CO,BRZtech Group
Roku,BSkyB
Roku,BSkyB
Jaunt,BSkyB
QuNano,BTG
60mo,Buckeye Oil Producing Company
Escapia,Buerk Dale Victor
Tulip Retail,BufferBox
Ridemakerz,Build-A-Bear Workshop
Ridemakerz,Build-A-Bear Workshop
Ridemakerz,Build-A-Bear Workshop
Offerpop,Bulger Capital Partners
LinkStorm,Bullas777
Player X,Bullion International
Solazyme,Bunge
H-FARM Ventures,Buongiorno S.p.A.
mydeco,Burda Cross Media
Lidyana.com,Burda International
Navegg,Buscap_
Shopcliq,Buscap_ Company
Energie Etiche,Business Innovation Centre Lazio
AfterShip,Business Switch Pty Ltd
MicuRx Pharmaceuticals,BVCF
Souzhou Ribo Life Science,BVCF
GenieDB,BWCI Trust
Wisair,Bynet Data Communications
easy2map,Byte Orbit
eDabba,C Cube Angels
eDabba,C Cube Angels
Graphic India,CA Media
Twenty Jeans,CAA Ventures
Medium,CAA Ventures
Interview Rocket,Cabot Technology Solutions
Tela Innovations,Cadence Design Systems
CoWare,Cadence Design Systems
NemeriX,Cadence Design Systems
NVELO,Cadence Design Systems
AVdirect,Caele Holding
Zoondy,Cairngorm LLC
DEQ,Caisse de Depot et Placements du Quebec
Rock Health,California HealthCare Foundation
iRhythm Technologies,California HealthCare Foundation
Alter Way,Calliode
Anatole,Calliode
SendinBlue,Caloga
Ondax,Caltech
Ondax,Caltech
