company_name,investor_name
greenovation Biotech,L-EigenkapitalAgentur
Panoratio,L-EigenkapitalAgentur
ET Solar Group,L. Ferrari Overseas Investments
Groupalia,la Caixa
Groupalia,la Caixa
Groupalia,la Caixa
Groupalia,la Caixa
Deskidea,la Caixa
La Nevera Roja.com,la Caixa
CL3VER,la Caixa
ChicPlace,la Caixa
LIA,La Costa Investment Group
GroundMetrics,La Costa Investment Group
Apmetrix,La Costa Investment Group
Tetco Technologies,La FinanciÌ¬re de Brienne
Tetco Technologies,La FinanciÌ¬re de Brienne
SkyRecon Systems,La FinanciÌ¬re de Brienne
Tetco Technologies,La FinanciÌ¬re de Brienne
BUMP Network,La Jolla Holding
Greenlet Technologies,LabOne Innovations
Oryzon Genomics,Laboratorios Ordesa
Jangl SMS,Labrador Ventures
MeeVee,Labrador Ventures
Pandora Media,Labrador Ventures
Pandora Media,Labrador Ventures
MeeVee,Labrador Ventures
Delve Networks,Labrador Ventures
Yardbarker Network,Labrador Ventures
Jangl SMS,Labrador Ventures
Transpera,Labrador Ventures
Infoaxe,Labrador Ventures
EoPlex Technologies,Labrador Ventures
Altierre,Labrador Ventures
Aperto Networks,Labrador Ventures
Altierre,Labrador Ventures
NextHop Technologies,Labrador Ventures
SST Inc. (Formerly ShotSpotter),Labrador Ventures
Aperto Networks,Labrador Ventures
SST Inc. (Formerly ShotSpotter),Labrador Ventures
Yardbarker Network,Labrador Ventures
WiredBenefits,Labrador Ventures
Rocket Fuel,Labrador Ventures
Aperto Networks,Labrador Ventures
Aperto Networks,Labrador Ventures
Aperto Networks,Labrador Ventures
EoPlex Technologies,Labrador Ventures
Veeker,Labrador Ventures
U4EA Wireless,Labrador Ventures
AdECN,Labrador Ventures
U4EA Wireless,Labrador Ventures
Reveal Technology,Labrador Ventures
SST Inc. (Formerly ShotSpotter),Labrador Ventures
Transpera,Labrador Ventures
U4EA Wireless,Labrador Ventures
Scifiniti,Labrador Ventures
Akira Technologies,Labrador Ventures
Altierre,Labrador Ventures
Integrated Materials,Labrador Ventures
Rocket Fuel,Labrador Ventures
Traverse Networks,Labrador Ventures
Ultriva,Labrador Ventures
Rocket Fuel,Labrador Ventures
SST Inc. (Formerly ShotSpotter),Labrador Ventures
Mixbook,Labrador Ventures
SST Inc. (Formerly ShotSpotter),Labrador Ventures
Usentric,Lacomp Plc
TripleLift,Laconia Ventures
Crowdly,Laconia Ventures
Wymsee,Laconia Ventures
S*Bio,Lacuna
Peak8 Partners,Lacuna
Auris Medical,Lacuna
Mocapay,Lacuna
Balihoo,Lacuna Gap Capital
Balihoo,Lacuna LLC
Balihoo,Lacuna LLC
Balihoo,Lacuna LLC
Mocapay,Lacuna LLC
Quant the News,"Lagovent Ventures Group, LLC"
VFM Leonardo,Lake Capital
VFM Leonardo,Lake Capital
LucidMedia,Lake Street Capital
Silicon Genesis,Lake Street Capital
Sequence Design,Lake Street Capital
Frictionless Commerce,Lake Street Capital
Spotify,Lakestar
Taulia,Lakestar
Maker Studios,Lakestar
AngelList,Lakestar
Teralytics,Lakestar
Algomi Ltd.,Lakestar
Nu3,Lakestar
Harry's,Lakestar
GoEuro,Lakestar
Blitsy,Lakewest Venture Partners
gDine,Lakshmi Capital
MoviePass,Lambert Media Group
Dblur Technologies,Landa Ventures
Mirage Innovations,Landa Ventures
JOOR,Landis Capital
Source4Style,Landis Capital
JOOR,Landis Capital
JOOR,Landis Capital
TPI Composites,Landmark Growth Capital Partners
wikifolio,Lang & Schwarz
Circassia,Lansdowne Partners
Oxford Nanopore Technologies,Lansdowne Partners
Oxford Nanopore Technologies,Lansdowne Partners
Cambridge Innovation Capital,Lansdowne Partners
Aldermore Bank plc,Lansdowne Partners
Mersana Therapeutics,Lansing Brown Investments
CellBiosciences,Lansing Brown Investments
Synchronica,Lanstead Capital
Synchronica,Lanstead Capital
Synchronica,Lanstead Capital
AudioSnaps,Lanta Digital Ventures
evocatal,LANXESS
Gevo,LANXESS
CriticalBlue,Lanza Tech Ventures
CriticalBlue,Lanza Tech Ventures
Forte Design Systems,Lanza Tech Ventures
"Numerate, Inc",Lanza TechVentures
CriticalBlue,Lanza TechVentures
CriticalBlue,Lanza TechVentures
Extreme DA,Lanza TechVentures
Chip Path Design Systems,Lanza TechVentures
Inventure Cloud,Lanzadera Accelerator
ATEME,Largam
Light Sciences Oncology,Larkspur Capital Corporation
Bills Khakis,Larsen MacColl Partners
Once Innovations,Lateral Capital
Easy Taxi,Latin America Internet Holding (LIH)
Linio,Latin Idea Ventures
Objectworld Communications,Latitude Partners
CellBiosciences,Latterell Venture Partners
Pathway Medical Technologies,Latterell Venture Partners
Transcend Medical,Latterell Venture Partners
Talima Therapeutics,Latterell Venture Partners
Pulmonx,Latterell Venture Partners
Femta Pharmaceuticals,Latterell Venture Partners
CellBiosciences,Latterell Venture Partners
Pulmonx,Latterell Venture Partners
Ovalis,Latterell Venture Partners
OncoMed Pharmaceuticals,Latterell Venture Partners
Calistoga Pharmaceuticals,Latterell Venture Partners
TetraLogic Pharmaceuticals,Latterell Venture Partners
Femta Pharmaceuticals,Latterell Venture Partners
CellBiosciences,Latterell Venture Partners
Naurex,Latterell Venture Partners
Inova Labs,Latterell Venture Partners
IntegenX,Latterell Venture Partners
Transcend Medical,Latterell Venture Partners
Neuraltus Pharmaceuticals,Latterell Venture Partners
Neuraltus Pharmaceuticals,Latterell Venture Partners
HemaQuest Pharmaceuticals,Latterell Venture Partners
Naurex,Latterell Venture Partners
Neuraltus Pharmaceuticals,Latterell Venture Partners
Pulmonx,Latterell Venture Partners
SST Inc. (Formerly ShotSpotter),Lauder Partners
OnLive,Lauder Partners
Promptu Systems,Lauder Partners
Promptu Systems,Lauder Partners
SST Inc. (Formerly ShotSpotter),Lauder Partners
SST Inc. (Formerly ShotSpotter),Lauder Partners
Blip,Lauder Partners
SST Inc. (Formerly ShotSpotter),Lauder Partners
Trusted Insight,Lauder Partners
SST Inc. (Formerly ShotSpotter),Lauder Partners
Lookery,LaunchBox Digital
Koofers,LaunchBox Digital
Razume,LaunchBox Digital
Zadby,LaunchBox Digital
Social Collective,LaunchBox Digital
SEC Watch,LaunchBox Digital
TapMetrics,LaunchBox Digital
Unblab,LaunchBox Digital
Heekya,LaunchBox Digital
JamLegend,LaunchBox Digital
ShareMeme,LaunchBox Digital
Bandsintown,LaunchBox Digital
Legal River,LaunchBox Digital
KeepFu,LaunchBox Digital
Keen Guides,LaunchBox Digital
CityPockets,LaunchBox Digital
Slipstream,LaunchBox Digital
Spring Metrics,LaunchBox Digital
AppTap,LaunchBox Digital
PlayHaven,LaunchBox Digital
RateItAll,LaunchCapital
Xconomy,LaunchCapital
North by South,LaunchCapital
Continuity Engine,LaunchCapital
Draker,LaunchCapital
Fashion Playtes,LaunchCapital
Life360,LaunchCapital
FitnessKeeper,LaunchCapital
PaperG,LaunchCapital
Helix Therapeutics,LaunchCapital
CardStar,LaunchCapital
The Grommet,LaunchCapital
Nimbit,LaunchCapital
Incentive Targeting,LaunchCapital
SecretBuilders,LaunchCapital
Sustainable Real Estate Solutions,LaunchCapital
SocialSci,LaunchCapital
zozi,LaunchCapital
Affinimark Technologies,LaunchCapital
NovaTract Surgical,LaunchCapital
DoubleDutch,LaunchCapital
FitnessKeeper,LaunchCapital
DoubleDutch,LaunchCapital
Intelligent Clearing Network,LaunchCapital
Zadspace,LaunchCapital
Apperian,LaunchCapital
Pear (formerly Apparel Media Group),LaunchCapital
MerchantAtlas,LaunchCapital
zozi,LaunchCapital
Ginger.io,LaunchCapital
Tripping,LaunchCapital
AI Exchange,LaunchCapital
CustomMade,LaunchCapital
Precog,LaunchCapital
Promoboxx,LaunchCapital
Life360,LaunchCapital
Eat Club,LaunchCapital
EmployInsight,LaunchCapital
Collaborate.com,LaunchCapital
Skystream Markets,LaunchCapital
CustomMade,LaunchCapital
NovaTract Surgical,LaunchCapital
Dekko,LaunchCapital
Zagster,LaunchCapital
Mobee,LaunchCapital
Promoboxx,LaunchCapital
Ovuline,LaunchCapital
Ancera,LaunchCapital
Eat Club,LaunchCapital
zozi,LaunchCapital
ParElastic,LaunchCapital
Bluetrain Mobile,LaunchCapital
Dekko,LaunchCapital
Domino,LaunchCapital
CustomMade,LaunchCapital
invino,LaunchCapital
Domino Magazine,LaunchCapital
ViralGains,LaunchCapital
Freight Farms,LaunchCapital
Soft Tissue Regeneration,LaunchCapital
Petnet,LaunchCapital
Skystream Markets,LaunchCapital
DidLog,LaunchHouse
Sialix,Launchpad Angels
Triptrotting,Launchpad LA
Big Frame,Launchpad LA
Lettuce,Launchpad LA
Tradesy,Launchpad LA
Chromatik,Launchpad LA
JobSync,Launchpad LA
ChowNow,Launchpad LA
ADOMIC (formerly YieldMetrics),Launchpad LA
Atlas Powered,Launchpad LA
Tuition.io,Launchpad LA
Divshot,Launchpad LA
Panna,Launchpad LA
Mark43,Launchpad LA
Calaborate,Launchpad LA
MFive Labs (Listn),Launchpad LA
Preact,Launchpad LA
EveryScape,LaunchPad Venture Group
Daktari Diagnostics,LaunchPad Venture Group
TruTouch Technologies,LaunchPad Venture Group
GateRocket,LaunchPad Venture Group
EveryScape,LaunchPad Venture Group
Vela Systems,LaunchPad Venture Group
Localytics,LaunchPad Venture Group
JAM Technologies,LaunchPad Venture Group
Char Software,LaunchPad Venture Group
Copiun,LaunchPad Venture Group
Zyrra,LaunchPad Venture Group
Pixability,LaunchPad Venture Group
Localytics,LaunchPad Venture Group
Vizibility,LaunchPad Venture Group
Avaxia Biologics,LaunchPad Venture Group
VCharge,LaunchPad Venture Group
InCrowd,LaunchPad Venture Group
JamHub,LaunchPad Venture Group
Localytics,LaunchPad Venture Group
Playrific,LaunchPad Venture Group
TruTouch Technologies,LaunchPad Venture Group
Content Raven,LaunchPad Venture Group
Avaxia Biologics,LaunchPad Venture Group
Groupize.com,LaunchPad Venture Group
Crowdly,LaunchPad Venture Group
Qstream,LaunchPad Venture Group
Qstream,LaunchPad Venture Group
TruTouch Technologies,LaunchPad Venture Group
Bliss Healthcare,LaunchPad Venture Group
Practically Green,LaunchPad Venture Group
HowAboutWe,LaunchTime
Deed,LAUNCHub
Imagga,LAUNCHub
Transmetrics,LAUNCHub
Dragon Inside,LAUNCHub
Next Points,LAUNCHub
Coherent Labs,LAUNCHub
DeskGod,LAUNCHub
Habbits,LAUNCHub
Flipps,LAUNCHub
Jumpido,LAUNCHub
KBLE,LAUNCHub
rankur,LAUNCHub
StorPool,LAUNCHub
Tesseract Interactive,LAUNCHub
TxtFeedback,LAUNCHub
Ucha.se,LAUNCHub
Useful at Night,LAUNCHub
UseTogether,LAUNCHub
Retidoc,LAUNCHub
codebender,LAUNCHub
Cinexio,LAUNCHub
Deed,LAUNCHub
CloudRunner I/O,LAUNCHub
StatAce,LAUNCHub
Play for Job,LAUNCHub
Edhub,LAUNCHub
Wiziva,LAUNCHub
SurveyMonkey,Laurel Crown Partners
Achievers,Laurence Capital
Achievers,Laurence Capital
BigRoad,Laurence Capital
TM Bioscience,Laurus Funds
Path 1 Network Technologies,Laurus Funds
Path 1 Network Technologies,Laurus Funds
TM Bioscience,Laurus Funds
AirNet Communications,Laurus Funds
Path 1 Network Technologies,Laurus Funds
Sleep Solutions,Lava Ventures
NewRiver,Lazard Technology Partners
Interwise,Lazard Technology Partners
Managed Objects,Lazard Technology Partners
Intellitactics,Lazard Technology Partners
BoxTone,Lazard Technology Partners
TAZZ Networks,Lazard Technology Partners
FireBlade,Lazarus Fund
PulmOne,Lazarus Fund
Piqora,Lazerow Ventures
Adenovir Pharma,LÌ_nsfÌ_rsÌ_kringar SkÌ´ne
Orbel Health,LBA
emoquo,LBA
Eykona Technologies,LBA Roundtable EIS Fund 2009
LumeJet,LBA Roundtable EIS Fund 2009
Linkedwith,LBB Capital Fund GmbH
Linkedwith,LBB Seed Capital Fund GmbH
MTM Laboratories,LBBW Venture Capital GmbH
Sloning BioTechnology,LBBW Venture Capital GmbH
Phenex Pharmaceuticals,LBBW Venture Capital GmbH
Bubbles and Beyond,LBBW Venture Capital GmbH
crealytics,LBBW Venture Capital GmbH
CargoGuard,LBBW Venture Capital GmbH
avandeo,LBBW Venture Capital GmbH
crealytics,LBBW Venture Capital GmbH
tocario,LBBW Venture Capital GmbH
PressMatrix,LBBW Venture Capital GmbH
Cartera Commerce,LBO Enterprises
NEMOPTIC,LC Capital
Innova Card,LC Capital
Innova Card,LC Capital
City Labs,LCS Ventures
AdvanDx,LD Pensions
Symphogen,LD Pensions
NsGene,LD Pensions
Ramesys (e-Business) Services,LDC
Entertainment Magpie,LDC
A-Gas,LDC
Driver Hire,LDC
WRG Creative Communication,LDC
PJD Group,LDC
Benson Group,LDC
Dale Power Solutions,LDC
Keoghs,LDC
OnApp,LDC
ATG Access,LDC
Validus-IVC,LDC
Ramco Oil Services,LDC
Equiom,LDC
The Training Room (TTR),LDC
Express Engineering,LDC
Joules Clothing,LDC
Jingle Networks,Lead Dog Ventures
Placester,Lead Dog Ventures
docTrackr,Lead Dog Ventures
Drillinginfo,Lead Edge Capital
Ensighten,Lead Edge Capital
Branding Brand,Lead Edge Capital
Refinery29,Lead Edge Capital
Xamarin,Lead Edge Capital
Kapost,Lead Edge Capital
Branding Brand,Lead Edge Capital
Fisoc,Lead Edge Capital
Monetate,Lead Edge Capital
Spredfast,Lead Edge Capital
DeliRadio Concert Network,Lead Edge Ventures
SideStep,Leader Ventures
Vindicia,Leader Ventures
Tagged,Leader Ventures
VoloMedia,Leader Ventures
Vindicia,Leader Ventures
Enpocket,Leader Ventures
Innovalight,Leader Ventures
DriveCam,Leader Ventures
PneumRx,Leader Ventures
Avalanche Technology,Leader Ventures
MobiTV,Leader Ventures
SkyFuel,Leaf Clean Energy
Invenergy,Leaf Clean Energy
Greenline Industries,Leaf Clean Energy
MaxWest Environmental Systems,Leaf Clean Energy
Lehigh Technologies,Leaf Clean Energy
Sumavision,Leaguer Tsing-Yuan Venture Capital
Sumavision,Leaguer Tsing-Yuan Venture Capital
Vast,Leapfrog Ventures
Radar Networks,Leapfrog Ventures
Like.com,Leapfrog Ventures
Avaak,Leapfrog Ventures
Like.com,Leapfrog Ventures
Like.com,Leapfrog Ventures
Silver Tail Systems,Leapfrog Ventures
Peanut Labs,Leapfrog Ventures
FastScaleTechnology,Leapfrog Ventures
Marble Security,Leapfrog Ventures
FastScaleTechnology,Leapfrog Ventures
PureWave Networks,Leapfrog Ventures
RedSeal Networks,Leapfrog Ventures
Ace Metrix,Leapfrog Ventures
RedSeal Networks,Leapfrog Ventures
OjOs.com,Leapfrog Ventures
Compassoft,Leapfrog Ventures
Avaak,Leapfrog Ventures
Netli,Leapfrog Ventures
OjOs.com,Leapfrog Ventures
Krillion,Leapfrog Ventures
Contactual,Leapfrog Ventures
OuterBay Technologies,Leapfrog Ventures
Silver Tail Systems,Leapfrog Ventures
HotLink,Leapfrog Ventures
RedSeal Networks,Leapfrog Ventures
PureWave Networks,Leapfrog Ventures
Zebit,Leapfrog Ventures
Ace Metrix,Leapfrog Ventures
C9 Inc.,Leapfrog Ventures
C9 Inc.,Leapfrog Ventures
C9 Inc.,Leapfrog Ventures
C9 Inc.,Leapfrog Ventures
C9 Inc.,Leapfrog Ventures
OpenStudy,Learn Capital
Edmodo,Learn Capital
Desmos,Learn Capital
ShowMe,Learn Capital
MasteryConnect,Learn Capital
OneSchool,Learn Capital
Verbling,Learn Capital
LearnZillion,Learn Capital
Edmodo,Learn Capital
Bloc,Learn Capital
ClassDojo,Learn Capital
eSpark,Learn Capital
Chromatik,Learn Capital
Udemy,Learn Capital
MasteryConnect,Learn Capital
BrightBytes,Learn Capital
popexpert,Learn Capital
Coursera,Learn Capital
Maker's Row,Learn Capital
NoRedInk,Learn Capital
HireArt,Learn Capital
Coursera,Learn Capital
Bloc,Learn Capital
Kalibrr,Learn Capital
NovoED,Learn Capital
Cognii,LearnLaunchX
Listen Edition,LearnLaunchX
Hyperformix,Leasing Technologies International
Continuent,Ledstiernan
ThePort Network,Lee Enterprises
Interwise,Leeds Equity Partners
Humedica,Leerink Swann
Living Proof,Leerink Swann
Aegis Identity Software,Legacy Bank
Sonoma Orthopedics,Legacy Life Sciences
WANdisco,Legal & General
Celoxica,Legal & General
Celoxica,Legal & General
Financial Information Network & Operations Pvt,Legatum Capital
A LITTLE WORLD,Legatum Ventures
Parade Technologies,Legend Capital
Tencho Technology,Legend Capital
Renren Inc.,Legend Capital
VanceInfo Technologies,Legend Capital
Shenzhen Jucheng Enterprise Management Consulting Co,Legend Capital
21Cake Food Co.,Legend Capital
Happy Elements,Legend Capital
Shenzhen IdreamSky Technology,Legend Capital
JenaValve Technology,Legend Capital
Social Touch,Legend Capital
Vhall,Legend Capital
Howbuy,Legend Capital
Howbuy,Legend Capital
AutoNavi,Legend Capital
Lakala,Legend Capital
"Zepp Labs, Inc.",Legend Capital
sezmi,Legend Ventures
sezmi,Legend Ventures
Bitauto Holdings,Legend Ventures
Arxan Technologies,Legend Ventures
Overture Networks,Legend Ventures
Ning by Glam Media,Legg Mason
Sermo,Legg Mason
Zillow,Legg Mason
OANDA,Legg Mason
Spot Runner,Legg Mason
SideStep,Lehman Brothers
SideStep,Lehman Brothers
Kontera,Lehman Brothers
Kontera,Lehman Brothers
Tumri,Lehman Brothers
PowerReviews,Lehman Brothers
KAYAK,Lehman Brothers
Endeca,Lehman Brothers
comScore,Lehman Brothers
comScore,Lehman Brothers
SearchMe,Lehman Brothers
SearchMe,Lehman Brothers
NileGuide,Lehman Brothers
Jaxtr,Lehman Brothers
MarkLogic,Lehman Brothers
MarkLogic,Lehman Brothers
Palo Alto Networks,Lehman Brothers
CLEAR,Lehman Brothers
GameFly,Lehman Brothers
Lucky Pai,Lehman Brothers
MyShape,Lehman Brothers
AOptix Technologies,Lehman Brothers
Kodiak Networks,Lehman Brothers
Zuora,Lehman Brothers
Meru Networks,Lehman Brothers
Ubicom,Lehman Brothers
Verified Identity Pass,Lehman Brothers
TheMarkets,Lehman Brothers
MyShape,Lehman Brothers
AOptix Technologies,Lehman Brothers
ExaGrid Systems,Lehman Brothers
ExaGrid Systems,Lehman Brothers
Aerovance,Lehman Brothers
Storwize,Lehman Brothers
Ubicom,Lehman Brothers
Aerovance,Lehman Brothers
Aspen Aerogels,Lehman Brothers
VideoIQ,Lehman Brothers
PEAK Surgical,Lehman Brothers
Fluidigm,Lehman Brothers
PEAK Surgical,Lehman Brothers
Fluidigm,Lehman Brothers
Qunar.com,Lehman Brothers
Light Sciences Oncology,Lehman Brothers
Linux Networx,Lehman Brothers
Navini Networks,Lehman Brothers
Negevtech,Lehman Brothers
ExaGrid Systems,Lehman Brothers Venture Partners
Cast Iron Systems,Lehman Brothers Venture Partners
Tira Wireless,Lehman Brothers Venture Partners
"LifeSize, a Division of Logitech",Lehman Brothers Venture Partners
Meru Networks,Lehman Brothers Venture Partners
Telenav,Lehman Brothers Venture Partners
Infoblox,Lehman Brothers Venture Partners
New Relic,Lehman Brothers Venture Partners
Avexxin,Leiv Eiriksson Invest
OneHealth Solutions,Lemhi Ventures
ABILITY Network,Lemhi Ventures
PlanSource Holdings,Lemhi Ventures
Shareable Ink,Lemhi Ventures
OneHealth Solutions,Lemhi Ventures
Shareable Ink,Lemhi Ventures
ABILITY Network,Lemhi Ventures
Shareable Ink,Lemhi Ventures
PlanSource Holdings,Lemhi Ventures
Local Motion,Lemnos Labs
NanoSatisfi,Lemnos Labs
Airware,Lemnos Labs
Sproutling,Lemnos Labs
Windlab Systems,Lend Lease Ventures
Better Place,Lend Lease Ventures
Daintree Networks,Lend Lease Ventures
XOS Digital,Lenfest Capital
StarNet Interactive,Leo Capital Holdings
GrubHub,Leo Capital Holdings
Smith & Tinker,Leo Capital Holdings
Sway,Leo Capital Holdings
Shoutlet,Leo Capital Holdings
Firefly Mobile,Leo Capital Holdings
Fastmobile,Leo Capital Holdings
Firefly Mobile,Leo Capital Holdings
Shoutlet,Leo Capital Holdings
Media Chaperone,Leo Capital Holdings
Fashion Playtes,Leo Capital Holdings
Fundation,LeoGroup
ISIS sentronics,Leonardo Venture
NanoCompound,Leonardo Venture
ISIS sentronics,Leonardo Venture
RÌ_sler miniDaT,Leonardo Venture
Cartago Software,Leonardo Venture
dloHaiti,Leopard Capital
Flexiant,Leopard Rock Capital
ChemistDirect,Lepe Partners
Bluefin Labs,Lerer Ventures
Venmo,Lerer Ventures
Appsfire,Lerer Ventures
Vook,Lerer Ventures
betaworks,Lerer Ventures
A Bit Lucky,Lerer Ventures
JIBE,Lerer Ventures
gdgt,Lerer Ventures
UberMedia,Lerer Ventures
LiveIntent,Lerer Ventures
Canvas Networks,Lerer Ventures
Fluidinfo,Lerer Ventures
OwnLocal,Lerer Ventures
Spanfeller Media Group,Lerer Ventures
Ze Frank Games,Lerer Ventures
Sailthru,Lerer Ventures
GroupMe,Lerer Ventures
Chartbeat,Lerer Ventures
Cue,Lerer Ventures
Simple,Lerer Ventures
AdKeeper,Lerer Ventures
SeatGeek,Lerer Ventures
Birchbox,Lerer Ventures
Axial,Lerer Ventures
BaubleBar,Lerer Ventures
GroupMe,Lerer Ventures
Qwiki,Lerer Ventures
Hyperpublic,Lerer Ventures
SHIFT,Lerer Ventures
Popdust,Lerer Ventures
Group Commerce,Lerer Ventures
Tapad,Lerer Ventures
A Bit Lucky,Lerer Ventures
Adaptly,Lerer Ventures
Group Commerce,Lerer Ventures
JIBE,Lerer Ventures
OnSwipe,Lerer Ventures
Canvas Networks,Lerer Ventures
Pulse,Lerer Ventures
BestVendor,Lerer Ventures
MongoHQ,Lerer Ventures
Warby Parker,Lerer Ventures
Hipster,Lerer Ventures
JOOR,Lerer Ventures
Visual Revenue,Lerer Ventures
Spanfeller Media Group,Lerer Ventures
ShowMe,Lerer Ventures
Moat,Lerer Ventures
MakerBot,Lerer Ventures
Sailthru,Lerer Ventures
Warby Parker,Lerer Ventures
Hyperink,Lerer Ventures
Dispatch,Lerer Ventures
Birchbox,Lerer Ventures
NewsCred,Lerer Ventures
Percolate,Lerer Ventures
BestVendor,Lerer Ventures
Tutorspree,Lerer Ventures
RJMetrics,Lerer Ventures
IFTTT,Lerer Ventures
BuzzFeed,Lerer Ventures
PandoDaily,Lerer Ventures
Namely,Lerer Ventures
Everlane,Lerer Ventures
Ridejoy,Lerer Ventures
Memrise,Lerer Ventures
GoodRx,Lerer Ventures
Quartzy,Lerer Ventures
Obvious,Lerer Ventures
Branch,Lerer Ventures
Kingfish Labs,Lerer Ventures
Yoke,Lerer Ventures
Roomorama,Lerer Ventures
Metaresolver,Lerer Ventures
Moat,Lerer Ventures
Couple,Lerer Ventures
Poptip,Lerer Ventures
Romotive,Lerer Ventures
Scoutmob,Lerer Ventures
Group Commerce,Lerer Ventures
Venmo,Lerer Ventures
Frontback,Lerer Ventures
VHX,Lerer Ventures
Moped,Lerer Ventures
Keep Holdings,Lerer Ventures
Side.Cr,Lerer Ventures
CasaHop,Lerer Ventures
Sunglass,Lerer Ventures
Bloglovin,Lerer Ventures
Barkbox,Lerer Ventures
littleBits Electronics,Lerer Ventures
BalconyTV,Lerer Ventures
Turf Geography Club,Lerer Ventures
ClassDojo,Lerer Ventures
Thrillist Media Group,Lerer Ventures
Thrillist.com,Lerer Ventures
Twice,Lerer Ventures
Scopely,Lerer Ventures
JOOR,Lerer Ventures
Side.Cr,Lerer Ventures
Trendabl,Lerer Ventures
Grokr,Lerer Ventures
RebelMouse,Lerer Ventures
OrderGroove,Lerer Ventures
Spindle,Lerer Ventures
Percolate,Lerer Ventures
SmartThings,Lerer Ventures
Tubular Labs,Lerer Ventures
IFTTT,Lerer Ventures
Consumr,Lerer Ventures
BuzzFeed,Lerer Ventures
Refinery29,Lerer Ventures
Picturelife,Lerer Ventures
Circa,Lerer Ventures
JIBE,Lerer Ventures
Editorially,Lerer Ventures
ChatID,Lerer Ventures
Sookasa,Lerer Ventures
Newsle,Lerer Ventures
Neighborland,Lerer Ventures
Food52,Lerer Ventures
Floored,Lerer Ventures
Bench,Lerer Ventures
Songza,Lerer Ventures
Just Sing It,Lerer Ventures
Panna,Lerer Ventures
Cover pay,Lerer Ventures
NowThis News,Lerer Ventures
Skift,Lerer Ventures
Runscope,Lerer Ventures
Dering Hall,Lerer Ventures
Dragon Innovation,Lerer Ventures
Sunrise,Lerer Ventures
Namely,Lerer Ventures
Brit + Co.,Lerer Ventures
Quartzy,Lerer Ventures
Soma,Lerer Ventures
Panjo,Lerer Ventures
JOOR,Lerer Ventures
Bottlenose,Lerer Ventures
Maxwell Health,Lerer Ventures
Startups,Lerer Ventures
Carnival,Lerer Ventures
LE TOTE,Lerer Ventures
ActionX,Lerer Ventures
Memoir,Lerer Ventures
Into The Gloss,Lerer Ventures
Tulip Retail,Lerer Ventures
Splice,Lerer Ventures
The Dodo,Lerer Ventures
Mic Network,Lerer Ventures
Soylent Corporation,Lerer Ventures
Hoteles y Clubs de Vacaciones SA,Lerer Ventures
Frontback,Lerer Ventures
Knozen,Lerer Ventures
PandoDaily,Lerer Ventures
makr,Lerer Ventures
littleBits Electronics,Lerer Ventures
Doctor on Demand,Lerer Ventures
Maxwell Health,Lerer Ventures
Floored,Lerer Ventures
Plated,Lerer Ventures
Wildcard,Lerer Ventures
Twice,Lerer Ventures
Canv.as / DrawQuest,Lerer Ventures
Canv.as / DrawQuest,Lerer Ventures
Bench,Lerer Ventures
Smartling,"lessin X2, llc"
rollApp,Leta Capital
Displair,Leta Capital
Wakie/Budist,Leta Capital
Zet Universe,Leta Capital
Displair,Leta Capital
MSU Business Incubator,Leta Capital
Hamstersoft,Leta Capital
RedHelper,Leta Capital
RoboCV,Leta Capital
Epizyme,Leukemia & Lymphoma Society
Selecta Biosciences,Leukon Investments
Asia Pacific Marine Container Lines,Leung Maritime Group
APR Energy,Levant Capital Limited
OYCO Systems,Level 10 Capital
CampusBookRentals,Level Equity
made.com,Level Equity
etouches,Level Equity
Mixbook,Level Equity
Riskonnect,Level Equity
Radiate Media,Level Equity
KnowNow,Levensohn Venture Partners
Radiance,Levensohn Venture Partners
Veraz Networks,Levensohn Venture Partners
SST Inc. (Formerly ShotSpotter),Levensohn Venture Partners
SST Inc. (Formerly ShotSpotter),Levensohn Venture Partners
Ubicom,Levensohn Venture Partners
Capella Photonics,Levensohn Venture Partners
Akros Silicon,Levensohn Venture Partners
Levanta,Levensohn Venture Partners
Rapt,Levensohn Venture Partners
Ubicom,Levensohn Venture Partners
Reconnex,Levensohn Venture Partners
BigFix,Levensohn Venture Partners
Caymas Systems,Levensohn Venture Partners
SST Inc. (Formerly ShotSpotter),Levensohn Venture Partners
SST Inc. (Formerly ShotSpotter),Levensohn Venture Partners
Akros Silicon,Levensohn Venture Partners
SST Inc. (Formerly ShotSpotter),Levensohn Venture Partners
Akros Silicon,Levensohn Venture Partners
theScore,Levfam Holdings
Sferra,Levine Leichtman Capital Partners
Unleashed Software,Lewis Holdings
Tevet Process Control Technologies,Lewis Trust Group
OrSense,Lewis Trust Group
Websense,Lexington Partners
Movik Networks,Lexington Partners
PowerVision,Lexington Partners
Global Care Quest,Lexington Venture
PortAuthority Technologies,Lexington Venture
Portero,LFE Capital
Siimpel Corporation,LG Innotek
Bahu,LGiLab
Outbrain,LGiLab
Outbrain,LGiLab
"Famigo, Inc.",Liahona Ventures
Desalitech,Liberation Capital
Desalitech,Liberation Capital
Vadxx Energy,Liberation Capital
Valentia Biopharma,Libertas 7
Jingle Networks,Liberty Associated Partners
Jingle Networks,Liberty Associated Partners
Takkle,Liberty Associated Partners
Jingle Networks,Liberty Associated Partners
Jingle Networks,Liberty Associated Partners
Oasys Mobile,Liberty Associated Partners
Dynadec,Liberty Capital Partners
Pickie,Liberty City Ventures
TripleLift,Liberty City Ventures
