"","Name","raised_amount_usd"
"Johnson & Johnson Development Corporation","Johnson & Johnson Development Corporation",22192969.9571429
"Juniper Networks","Juniper Networks",13152941.1764706
"K9 Ventures","K9 Ventures",3823332.74074074
"Kapor Capital","Kapor Capital",2734024.43902439
"Karlin Ventures","Karlin Ventures",2919166.66666667
"kbs+ Ventures","kbs+ Ventures",3558333.33333333
"KEC Ventures","KEC Ventures",4563461.53846154
"Kepha Partners","Kepha Partners",3047391.30434783
"Kernel Capital Partners","Kernel Capital Partners",2624910.78571429
"Khosla Ventures","Khosla Ventures",11513015.275
"Kima Ventures","Kima Ventures",930489
"Klass Capital","Klass Capital",3080000
"Kleiner Perkins Caufield & Byers","Kleiner Perkins Caufield & Byers",15779863.7613883
"Kodiak Venture Partners","Kodiak Venture Partners",8279259.25925926
"KPCB Holdings","KPCB Holdings",17324040.9333333
"Kreos Capital","Kreos Capital",11468859.5714286
"Lakestar","Lakestar",58100000
"LaunchCapital","LaunchCapital",1933936.73684211
"Learn Capital","Learn Capital",5409565.2173913
"Leonardo Venture","Leonardo Venture",1407500
"Lerer Ventures","Lerer Ventures",2269031.58641975
"Lightbank","Lightbank",1923928.57142857
"Lightspeed Venture Partners","Lightspeed Venture Partners",10675920.6956522
"Linseed Capital","Linseed Capital",468333.333333333
"Long Ridge Equity Partners","Long Ridge Equity Partners",1.5e+07
"Longbow Capital","Longbow Capital",2418035.5
"Longworth Venture Partners","Longworth Venture Partners",5127097.91666667
"Lowercase Capital","Lowercase Capital",3057169.975
"Ludlow Ventures","Ludlow Ventures",2139673.63636364
"Lumira Capital","Lumira Capital",17540976.5714286
"Lux Capital","Lux Capital",13186287.7435897
"Lyceum Capital","Lyceum Capital",43755408.75
"Madrona Venture Group","Madrona Venture Group",5079358.71544715
"Mangrove Capital Partners","Mangrove Capital Partners",7324761.9047619
"Marlin Equity Partners","Marlin Equity Partners",2.6e+09
"Matrix Partners","Matrix Partners",8545630.085
"Maveron","Maveron",6017171.234375
"Mayfield Fund","Mayfield Fund",6212639.56345178
"Medicis Capital","Medicis Capital",23533333.3333333
"Menlo Ventures","Menlo Ventures",7585856.21428571
"Mercury Fund","Mercury Fund",3681137.59615385
"Meridian Venture Partners","Meridian Venture Partners",3e+06
"Meritech Capital Partners","Meritech Capital Partners",22919236.4
"MESA+","MESA+",1043235.29411765
"Metamorphic Ventures","Metamorphic Ventures",4437371.19148936
"MHS Capital","MHS Capital",5661666.66666667
"Middleland Capital","Middleland Capital",1928571.42857143
"Midven","Midven",1314442.23333333
