company_name,investor_name,investor_category_code,funded_year
Miragen Therapeutics,Amgen,biotech,2012
Sutro Biopharma,Amgen,biotech,2012
Gamida Cell,Amgen,biotech,2012
Theraclone Sciences,Amgen,biotech,2013
Opsona,Amgen,biotech,2013
Opsona,Amgen,biotech,2013
Sutro Biopharma,Amgen,biotech,2013
Invested.in,Amplify.LA,finance,2011
StackSocial,Amplify.LA,finance,2012
Look.io,Amplify.LA,finance,2012
The Kive Company,Amplify.LA,finance,2012
RadPad,Amplify.LA,finance,2013
Twenty Jeans,Amplify.LA,finance,2013
FloQast,Amplify.LA,finance,2013
Versartis,amunix,,2013
SleepOut,AMVF,,2013
BioSeek,Amylin Pharmaceuticals,biotech,2007
Xenome,Amylin Pharmaceuticals,biotech,2007
Actito,Anaphor Venture,,2000
Gramble World BV,Angaros Group Pte Ltd,,2012
ABPathfinder,Angel Capital Group,consulting,2012
StyleTrek,Angel Hub,,2010
CENTRI Technology,Angel Valkyrie,,2013
Apptimize,AngelList,other,2014
Snip.ly,AngelPad,,2010
Hug Energy,AngelPad,,2010
AllTrails,AngelPad,,2010
curated.by,AngelPad,,2010
RollCall (roll.to),AngelPad,,2010
MoPub,AngelPad,,2010
EggCartel,AngelPad,,2010
CoverHound,AngelPad,,2011
DailyCred,AngelPad,,2011
Crittercism,AngelPad,,2011
Astrid,AngelPad,,2012
Postmates,AngelPad,,2011
Cloudbot,AngelPad,,2011
Cloudbot,AngelPad,,2011
Hall,AngelPad,,2011
SimpleReach,AngelPad,,2012
Pipedrive,AngelPad,,2012
iDoneThis,AngelPad,,2011
Ribbon,AngelPad,,2011
CoverHound,AngelPad,,2013
Kinnek,AngelPad,,2012
Osito,AngelPad,,2013
Piggybackr,AngelPad,,2013
Pict,AngelPad,,2013
RolePoint,AngelPad,,2013
Audience.fm,AngelPad,,2013
Boxbee,AngelPad,,2013
Chasm.io (formerly Wahooly),AngelPad,,2013
DroneDeploy,AngelPad,,2013
Fieldwire,AngelPad,,2013
HumanAPI,AngelPad,,2013
Iterable,AngelPad,,2013
Pogoseat,AngelPad,,2013
Roobiq,AngelPad,,2013
