Capricorn Investment Group,2
Carmel Ventures,2
Catapult Venture Managers,2
Celtic House Venture Partners,2
CentreStone Ventures,2
CFH,2
Charles River Ventures,2
Chart Venture Partners,2
Chicago Growth Partners,2
Cipio Partners,2
Cisco,2
Clarendon Fund Managers,2
Clave Mayor,3
Clean Energy Venture Group,3
Cleantech Ventures,3
Clearpoint Ventures,3
Clearstone Venture Partners,2
CM Capital Investments,2
Coatue Management,2
Collaborative Fund,3
Columbia Capital,2
Columbia Partners Private Capital,2
Comcast Ventures,2
Conduit Ventures,2
Confrapar,3
Connect Ventures,3
Connecticut Innovations,3
Core VC,2
Correlation Ventures,3
Costanoa Venture Capital,3
Covera Ventures,2
Covington Funds,2
Cowboy Ventures,3
Coyote Ridge Ventures,3
Creandum,3
Creathor Venture Management,2
Credo Ventures,3
Crescent Capital,2
Crosscut Ventures,3
Crosslink Capital,2
Crosspoint Venture Partners,2
CrunchFund,3
Cue Ball,2
Cultivian Ventures,2
CVC Capital Partners,2
Cycle Capital,2
Dace Ventures,2
DAG Ventures,2
Data Collective,3
Data Point Capital,3
Dawn Capital,2
DBL Investors,2
DCM,2
Dell Ventures,2
Delphi Ventures,2
Deutsche Telekom,2
DFJ Esprit,2
DFJ Frontier,3
DFJ Gotham Ventures,2
DFJ Growth,2
DN Capital,2
Domain Associates,2
Double M Partners,3
DoubleRock,2
Draper Fisher Jurvetson (DFJ),2
Drive Capital,3
Dumont Venture,2
Dynamics Venture Capital Fund,2
e.Bricks Digital,3
e.ventures,2
Earlybird Venture Capital,2
Earthrise Capital Partners,2
Easton Capital,2
EC1 Capital Ltd,3
EchoVC Partners,3
ECI Partners,2
Ecosystem Ventures,3
Eden Ventures,2
Edison Ventures,2
El Dorado Ventures,2
Elevate Ventures,3
EMBL Ventures,2
Emergence Capital Partners,2
EnerTech Capital,2
Enjoyventure Management,2
Enterprise Equity Limited,2
Enterprise Ireland,3
Environmental Technologies Fund,2
Epiphany Ventures,2
ESB Novusmodus,2
European Equity Partners,2
Evergreen Venture Partners,2
EVP Capital Management,2
Extremadura Avante,2
Fairhaven Capital Partners,2
Felicis Ventures,3
Fenox Venture Capital,3
ff Venture Capital,3
Fidelity Growth Partners Europe,2
Fidelity Ventures,2
Finance Wales,2
Finaves S.C.R.,2
Fir Capital,3
First Round Capital,2
FirstMark Capital,2
Flagship Ventures,2
FLOODGATE,3
Flybridge Capital Partners,2
Focus Ventures,2
Foragen Technologies Management,2
Forerunner Ventures,3
Foresite Capital,2
Formation 8,3
Foundation Capital,2
Founder Collective,3
Founder's Co-op,3
Founders Fund,2
Foundry Group,2
Fountain Healthcare Partners,2
Four Rivers Group,2
Frazier Healthcare Ventures,2
Frazier Technology Ventures,2
Freestyle Capital,3
Frog Capital,2
Fuel Capital,3
FundersClub,3
Fung Capital USA,2
Gamma Capital Partners,2
Gemini Israel Ventures,2
General Atlantic,2
General Catalyst Partners,2
Genesis Partners,2
Genesys Capital,2
GENIUS Venture Capital,2
Genwealth Venture Partners,3
Georgian Partners,2
GGV Capital,2
Gimv,2
Global Founders Capital,2
Global Life Science Ventures,2
Globespan Capital Partners,2
Glynn Capital Management,2
Golden Gate Ventures,3
Golden Venture Partners,3
Goldman Sachs,2
Google Ventures,3
GrandBanks Capital,2
Granite Ventures,2
Great Oaks Venture Capital,3
Greycroft Partners,2
Greylock Partners,2
GrowthWorks Capital,2
GSV Capital,2
Hamilton BioVentures,2
Harris & Harris Group,2
Harrison Metal Capital,3
Helion Venture Partners,2
High Line Venture Partners,3
High Peaks Venture Partners,3
Highgrowth Partners,2
Highland Capital Partners,2
Highway 12 Ventures,2
HLM Venture Partners,2
Howzat Partners,2
Hudson Ventures,2
Hummer Winblad Venture Partners,2
HV Holtzbrinck Ventures,2
Hyde Park Venture Partners,3
IA Ventures,3
Idealab,2
IDG Ventures,2
IDG Ventures USA,2
IDInvest Partners,2
Ignition Partners,2
Illuminate Ventures,2
Imlay Investments,2
Imperious Group,3
In-Q-Tel,2
Index Ventures,2
India Quotient,3
Initialized Capital,3
InnoCal Venture Capital,2
Innovacom,2
Innovacorp,3
Innovation Capital,2
iNovia Capital,2
Insight Venture Partners,2
Institutional Venture Partners,2
INTEC IT Capital,3
Intel Capital,2
Intelligent Venture Capital,3
InterWest Partners,2
Inventages Venture Capital Investment Inc.,2
Inventus Capital Partners,3
Investor AB,2
Investor Growth Capital,2
IP Group Plc,2
IQ Capital Partners,2
Jafco Ventures,2
Javelin Venture Partners,3
Jerusalem Venture Partners,2
JMI Equity,2
Johnson & Johnson Development Corporation,2
Juniper Networks,2
K9 Ventures,3
Kapor Capital,3
Karlin Ventures,3
kbs+ Ventures,3
KEC Ventures,3
Kepha Partners,3
Kernel Capital Partners,2
Khosla Ventures,2
Kima Ventures,3
Klass Capital,3
Kleiner Perkins Caufield & Byers,2
Kodiak Venture Partners,2
KPCB Holdings,2
Kreos Capital,2
Lakestar,2
LaunchCapital,3
Learn Capital,3
Leonardo Venture,2
Lerer Ventures,3
Lightbank,3
Lightspeed Venture Partners,2
Linseed Capital,3
Long Ridge Equity Partners,1
Longbow Capital,2
Longworth Venture Partners,2
Lowercase Capital,3
Ludlow Ventures,3
Lumira Capital,2
Lux Capital,2
Lyceum Capital,2
Madrona Venture Group,2
Mangrove Capital Partners,2
Marlin Equity Partners,1
