Name,AL Name,AL ID,AL Link
"Gimv","GIMV","244461","https://angel.co/gimv"
"Global Founders Capital","Global Founders Capital","244349","https://angel.co/global-founders-capital"
"Global Life Science Ventures","Silicon Badia","116331","https://angel.co/silicon-badia"
"Globespan Capital Partners","Globespan Capital Partners","216793","https://angel.co/globespan"
"Glynn Capital Management","Glynn Capital Management","71567","https://angel.co/glynn-capital-management"
"Golden Gate Ventures","Golden Gate Ventures","93251","https://angel.co/golden-gate-ventures"
"Golden Venture Partners","Golden Venture Partners","101852","https://angel.co/golden-venture-partners"
"Goldman Sachs","Goldman Sachs","37794","https://angel.co/goldman-sachs"
"GoodVent","","",""
"Google Ventures","Google Ventures","37940","https://angel.co/google-ventures"
"Gramercy Fund","The Gramercy Fund","343098","https://angel.co/the-gramercy-fund"
"GrandBanks Capital","GrandBanks Capital","60741","https://angel.co/grandbanks-capital"
"Granite Ventures","Granite Ventures","43077","https://angel.co/granite-ventures"
"Great Oaks Venture Capital","Great Oaks Venture Capital","44891","https://angel.co/great-oaks-venture-capital"
"GreenSoil Investments","GreenSoil Investments","216830","https://angel.co/greensoil-investments"
"Gresham Private Equity","","",""
"Greycroft Partners","Greycroft Partners","41691","https://angel.co/greycroft-partners"
"Greylock Partners","Greylock Partners","37941","https://angel.co/greylock-partners"
"GrowthWorks Capital","","",""
"GSV Capital","GSV Capital","187372","https://angel.co/gsv-capital"
"H.I.G. Capital Partners","","",""
"Hamilton BioVentures","","",""
"Hamilton Bradshaw Group","","",""
"Harris & Harris Group","RK Harrison Group","203556","https://angel.co/rk-harrison-group"
"Harrison Metal Capital","Gigwalk","31544","https://angel.co/gigwalk"
"Helion Venture Partners","TaxiForSure","248013","https://angel.co/taxiforsure"
"HFPX","HFPX","126154","https://angel.co/hfpx"
"HgCapital","hgcapital","154497","https://angel.co/hgcapital"
"High Line Venture Partners","High Line Venture Partners","39515","https://angel.co/high-line-venture-partners"
"High Peaks Venture Partners","High Peaks Venture Partners","42367","https://angel.co/high-peaks-venture-partners"
"High Tech Gruenderfonds","High-Tech Gruenderfonds","293472","https://angel.co/high-tech-gruenderfonds"
"Highgrowth Partners","","",""
"Highland Capital Partners","Highland Capital Partners","38156","https://angel.co/highland-capital-partners"
"Highway 12 Ventures","Highway 12 Ventures","49943","https://angel.co/highway-12-ventures"
"HLM Venture Partners","","",""
"Horizonte Venture Management","","",""
"Howzat Partners","","",""
"HP Ventures","OneFold","251378","https://angel.co/onefold"
"Hudson Ventures","","",""
"Hummer Winblad Venture Partners","Hummer Winblad","83099","https://angel.co/hummer-winblad"
"HV Holtzbrinck Ventures","","",""
"Hyde Park Venture Partners","Hyde Park Venture Partners","197829","https://angel.co/hyde-park-venture-partners"
"IA Ventures","IA Ventures","36581","https://angel.co/ia-ventures"
"Idealab","Idealab","29121","https://angel.co/idealab"
"IDG Ventures","IDG Ventures","62792","https://angel.co/idg-ventures-1"
"IDG Ventures USA","","",""
"IDInvest Partners","IDInvest Partners","45728","https://angel.co/idinvest-partners"
"IG Expansion","","",""
"Ignition Partners","Ignition Partners","39149","https://angel.co/ignition-partners"
"Illuminate Ventures","Illuminate Ventures","75493","https://angel.co/illuminate-ventures"
"Imlay Investments","Imlay Investments","44897","https://angel.co/imlay-investments"
"Imperious Group","Imperious Group","223691","https://angel.co/imperious-group"
"In-Q-Tel","In-Q-Tel","38829","https://angel.co/in-q-tel"
"Index Ventures","Index Ventures","39531","https://angel.co/index-ventures"
"India Quotient","india quotient","125647","https://angel.co/india-quotient"
"Inerjys","","",""
"Initial Factor","Bullpen Capital","1981","https://angel.co/bullpen-capital"
"Initialized Capital","","",""
"InMedia","Playerking","266544","https://angel.co/playerking"
"InnoCal Venture Capital","","",""
"Innovacom","Innovacom Venture Capital","251977","https://angel.co/innovacom-venture-capital"
"Innovacorp","Innovacorp","162327","https://angel.co/innovacorp"
"Innovation Capital","Pix Vine Capital (PixVC)","201602","https://angel.co/pix-vine-capital-pixvc-1"
"Innvotec","Hash Innvotech Pvt. Ltd","280623","https://angel.co/hash-innvotech-pvt-ltd"
"iNovia Capital","iNovia Capital","43532","https://angel.co/inovia-capital"
"Inseed Investimentos","","",""
"Insight Venture Partners","Insight Venture Partners","43387","https://angel.co/insight-venture-partners"
"Institutional Venture Partners","Institutional Venture Partners","46542","https://angel.co/institutional-venture-partners"
"INTEC IT Capital","","",""
"Intel Capital","Intel Capital","39830","https://angel.co/intel-capital"
"Intelligent Venture Capital","boldstart ventures","104708","https://angel.co/boldstart-ventures"
"InterSouth Partners","","",""
"InterWest Partners","InterWest Partners","45351","https://angel.co/interwest-partners"
"Inventages Venture Capital Investment Inc.","","",""
"Inventis Partners","","",""
"Inventure","InVenture","24322","https://angel.co/inventure"
"Inventus Capital Partners","","",""
"Investor AB","I Have Been a Founder and a Founding Investor in All the Companies Listed Above.","48920","https://angel.co/i-have-been-a-founder-and-a-founding-investor-in-all-the-companies-listed-above"
"Investor Growth Capital","Investor Growth Capital","120547","https://angel.co/investor-growth-capital"
"IP Group Plc","IP Group PLC","230027","https://angel.co/ip-group-plc"
"IQ Capital Partners","IQ Capital Partners","68568","https://angel.co/iq-capital-partners"
"Jafco Ventures","JAFCO Ventures","242814","https://angel.co/jafco-ventures"
"Javelin Venture Partners","Javelin Venture Partners","38508","https://angel.co/javelin-venture-partners"
"Javelin Ventures","","",""
"Jerusalem Venture Partners","","",""
"JMI Equity","JMI Equity","163195","https://angel.co/jmi-equity"
"Johnson & Johnson Development Corporation","","",""
"Juniper Networks","Juniper Networks","37574","https://angel.co/juniper-networks"
"K9 Ventures","K9 Ventures","39302","https://angel.co/k9-ventures"
"Kapor Capital","Kapor Capital","38494","https://angel.co/kapor-capital"
"Karlin Ventures","Karlin Ventures","117793","https://angel.co/karlin-ventures"
"KaszeK Ventures","Kaszek Ventures","89317","https://angel.co/kaszek-ventures"
"kbs+ Ventures","kbs+ Ventures","47863","https://angel.co/kbs-ventures-1"
"KEC Ventures","","",""
"Kepha Partners","Kepha Partners","68352","https://angel.co/kepha-partners"
"Kernel Capital Partners","","",""
"Khosla Ventures","Khosla Ventures","39529","https://angel.co/khosla-ventures"
"Killick Capital","","",""
"Kima Ventures","Kima Ventures","177108","https://angel.co/kima-ventures"
